TransactionID,AccountID,Timestamp,Amount,Merchant,TransactionType,Location,AccountHistoryDays,AvgDailySpend
TXN1001,ACC456,2025-09-15T08:30:00Z,75.50,Starbucks,Card,New York,365,150.00
TXN1002,ACC456,2025-09-15T09:15:00Z,320.00,Apple Store,Card,New York,365,150.00
TXN1003,ACC789,2025-09-15T02:10:00Z,15.25,7-Eleven,Card,Chicago,120,50.00
TXN1004,ACC123,2025-09-15T11:05:00Z,9850.00,Luxury Watches Inc.,Card,Miami,730,400.00
TXN1005,ACC456,2025-09-15T14:20:00Z,250.00,Online Retailer,Online,Internet,365,150.00
TXN1006,ACC789,2025-09-15T18:45:00Z,1200.00,Flight Tickets,Online,Internet,120,50.00
TXN1007,ACC123,2025-09-15T23:55:00Z,4500.00,Electronics Hub,Card,Hong Kong,730,400.00
TXN1008,ACC888,2025-09-15T03:30:00Z,890.00,Cash Withdrawal,ATM,Moscow,90,200.00
TXN1009,ACC888,2025-09-15T03:32:00Z,50.10,Taxi Service,Card,Moscow,90,200.00
TXN1010,ACC888,2025-09-15T03:33:00Z,125.40,Restaurant,Card,Moscow,90,200.00
TXN1011,ACC888,2025-09-15T03:34:00Z,300.00,Souvenirs,Card,Moscow,90,200.00
TXN1012,ACC888,2025-09-15T03:35:00Z,600.00,Hotel Mini-bar,Card,Moscow,90,200.00
